parent_image_id,parent_filename,child_cropped_id,child_filename,display_title,corpus_layer,source_type,Author,motif_specific,motif_group,object_type,place_of_origin,iconclass_code,year,Link
ARC_FRES_003,"The House of the Ladies in Akrotiri, Thera",ARC_FRES_003_CROP_08,ARC_FRES_003_papyrus_08.jpg,"Papyrus group motif — House of the Ladies, Akrotiri, Thera",archaeological,Wikimedia Commons,unknown,papyrus_group,vegetal,fresco,"Akrotiri, Thera",25G41,-1600,https://commons.wikimedia.org/wiki/File:Wall_painting_of_two_ladies_and_papyrus_plants_from_Akrotiri_(house_of_the_ladies)_-_Thera_MPT_-_05.jpg
ARC_FRES_011,Fresco with antelopes from Akrotiri.jpg,ARC_FRES_011_CROP_02,ARC_FRES_011_double_ivy_sprigs_02.jpg,"Paired ivy sprigs motif — Antelope Fresco, Akrotiri",archaeological,Wikimedia Commons,unknown,double_ivy_sprigs,vegetal,fresco,"Akrotiri, Thera",25G4(IVY),-1600,https://commons.wikimedia.org/wiki/File:Akrotiri_Antelopes_fresco.jpg?uselang=ru
BOOK_004,"Place of minos at knossos vol.1 by Evans, Arthur-602",BOOK_004_CROP_01,BOOK_004_lily_01.jpg,"Lily motif — The Palace of Minos at Knossos, vol. 1, p. 602",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,lily,floral,book_illustration,Knossos,25G41(LILY),1921,https://archive.org/details/in.gov.ignca.6667/page/n601/mode/2up
BOOK_006,"Place of minos at knossos vol.1 by Evans, Arthur-675",BOOK_006_CROP_01,BOOK_006_lily_group_01.jpg,"Lily group motif — The Palace of Minos at Knossos, vol. 1, p. 675",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,lily_group,floral,book_illustration,Knossos,25G41(LILY),1921,https://archive.org/details/in.gov.ignca.6667/page/603/mode/2up
BOOK_007,"Place of minos at knossos vol.1 by Evans, Arthur-676",BOOK_007_CROP_01,BOOK_007_lily_group_01.jpg,"Lily group motif — The Palace of Minos at Knossos, vol. 1, p. 676",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,lily_group,floral,book_illustration,Knossos,25G41(LILY),1921,https://archive.org/details/in.gov.ignca.6667/page/603/mode/2up
BOOK_020,The prehistoric tombs of Knossos-190,BOOK_020_CROP_01,BOOK_020_papyrus_flower_01.jpg,"Papyrus flower motif — The Prehistoric Tombs of Knossos, p. 190",publication,The Prehistoric Tombs of Knossos,,papyrus_flower,floral,book_illustration,Knossos,25G41,1906,https://archive.org/details/prehistorictombs00evan/page/n189/mode/1up
BOOK_008,"Place of minos at knossos vol.1 by Evans, Arthur-678",BOOK_008_CROP_02,BOOK_008_tulips_02.jpg,"Tulip motif — The Palace of Minos at Knossos, vol. 1, p. 678",publication,"Arthur Evans, Place of Minos at Knossos vol.1",,tulips,floral,book_illustration,Knossos,25G41(TULIP),1921,https://archive.org/details/in.gov.ignca.6667/page/605/mode/2up
BOOK_013,The prehistoric tombs of Knossos-103,BOOK_013_CROP_01,BOOK_013_papyrus_like_flower_01.jpg,"Papyrus flower motif — The Prehistoric Tombs of Knossos, p. 103",publication,The Prehistoric Tombs of Knossos,,papyrus_flower,floral,book_illustration,Knossos,25G41,1906,https://archive.org/details/prehistorictombs00evan/page/91/mode/1up
BOOK_027,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-233.tiff",BOOK_027_CROP_01,BOOK_027_papyrus_like_flower_01.jpg,"Papyrus flower motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 233",publication,J. D. S. Pendlebury,,papyrus_flower,floral,book_illustration,Crete,25G41,1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n233/mode/1up
BOOK_027,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-233.tiff",BOOK_027_CROP_02,BOOK_027_crocuses_02.jpg,"Crocus group motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 233",publication,J. D. S. Pendlebury,,crocus_group,floral,book_illustration,Crete,25G41(CROCUS),1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n233/mode/1up
